constellation,OBJECT_NAME,NORAD_CAT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,REV_AT_EPOCH,ELEMENT_SET_NO,OBJECT_TYPE,DECAY_DATE
GLONASS,COSMOS 761,8285,2026-03-29T05:09:25.903296,12.55815665,0.0052742,74.0076,133.8286,190.8585,238.2751,8.3194e-05,-3e-08,0.0,7818.4,114.667,1481.501,1399.03,31646,999,PAYLOAD,
GLONASS,COSMOS 762,8286,2026-03-29T05:13:37.416288,12.50904415,0.0028996,74.0138,0.2661,104.1518,49.7975,1.3135e-05,-1.4e-07,0.0,7838.851,115.117,1483.446,1437.987,30737,999,PAYLOAD,
GLONASS,COSMOS 763,8287,2026-03-29T02:48:32.024448,12.43562308,0.0023278,74.0122,334.9923,219.0136,310.087,9.1881e-05,-3e-08,0.0,7869.675,115.796,1509.859,1473.221,29380,999,PAYLOAD,
GLONASS,COSMOS 764,8288,2026-03-29T03:04:03.936576,12.41089586,0.0029757,74.0059,86.9205,11.0727,54.2734,0.00014224,4e-08,0.0,7880.125,116.027,1525.439,1478.541,28931,999,PAYLOAD,
GLONASS,COSMOS 765,8289,2026-03-29T02:52:17.894784,12.38289368,0.0045596,74.0099,213.4773,156.5854,17.2941,-4.4498e-05,-2.1e-07,0.0,7892.0,116.289,1549.849,1477.881,28417,999,PAYLOAD,
GLONASS,COSMOS 766,8290,2026-03-29T05:05:27.216384,12.53297459,0.0042559,74.007,250.0785,333.5527,201.6975,0.00010262,0.0,0.0,7828.87,114.897,1484.054,1417.416,31174,999,PAYLOAD,
GLONASS,COSMOS 767,8291,2026-03-29T05:31:09.667200,12.48524535,0.0020755,74.0058,109.036,247.3852,195.2711,0.0001372,4e-08,0.0,7848.809,115.336,1486.965,1454.384,30299,999,PAYLOAD,
GLONASS,COSMOS 768,8292,2026-03-29T02:56:23.321760,12.46114331,0.001253,74.0095,219.4567,50.0885,122.9139,-5.6837e-05,-2.4e-07,0.0,7858.927,115.559,1490.639,1470.945,29852,999,PAYLOAD,
GLONASS,COSMOS 770,8325,2026-03-29T05:07:26.299776,13.19804915,0.0027485,82.9559,62.59,300.4539,71.3064,7.1169e-05,4.1e-07,0.0,7563.602,109.107,1206.256,1164.679,43284,999,PAYLOAD,
GLONASS,COSMOS 773,8343,2026-03-29T04:13:45.484032,14.35938855,0.0011784,74.0546,142.7124,332.7851,27.2682,5.7213e-05,1.4e-06,0.0,7150.085,100.283,780.376,763.524,64088,999,PAYLOAD,
GLONASS,COSMOS 775,8357,2026-03-29T03:00:29.964384,1.00207105,0.0010492,2.566,262.6618,177.1435,203.0411,0.0,9.3e-07,0.0,42182.874,1437.024,35848.997,35760.481,13096,999,PAYLOAD,
GLONASS,COSMOS 778,8419,2026-03-29T05:24:16.922304,13.74843722,0.0023217,82.9788,352.9571,79.1443,31.2303,4.8423e-05,6.2e-07,0.0,7360.37,104.739,999.323,965.146,52760,999,PAYLOAD,
GLONASS,COSMOS 783,8458,2026-03-29T04:41:03.739488,14.33753787,0.0013282,74.0589,149.1549,244.0432,115.9352,6.5419e-05,1.56e-06,0.0,7157.348,100.436,788.719,769.706,62872,999,PAYLOAD,
GLONASS,COSMOS 785,8473,2026-03-28T17:45:22.345344,13.82324222,0.00893468,65.0777,202.621,317.7326,41.687,1.2435241e-05,-7.4e-07,0.0,7333.792,104.172,1021.182,890.131,53792,999,PAYLOAD,
GLONASS,COSMOS 789,8591,2026-03-29T00:41:51.364608,13.73197758,0.0031335,82.97,264.4116,80.4056,35.8676,5.1852e-05,6.4e-07,0.0,7366.25,104.865,1011.197,965.033,51414,999,PAYLOAD,
GLONASS,COSMOS 791,8607,2026-03-29T04:14:00.165120,12.55044692,0.0054608,74.0532,239.9998,344.0713,188.5058,5.9753e-05,-6e-08,0.0,7821.602,114.737,1486.179,1400.755,29827,999,PAYLOAD,
GLONASS,COSMOS 792,8608,2026-03-29T03:32:14.489952,12.50420403,0.0035703,74.0517,90.9369,244.0269,190.5798,0.00016604,9e-08,0.0,7840.874,115.161,1490.733,1434.745,28989,999,PAYLOAD,
GLONASS,COSMOS 793,8609,2026-03-29T04:42:34.744608,12.5264505,0.0046143,74.0589,349.4627,122.8183,356.9651,6.9108e-05,-5e-08,0.0,7831.588,114.957,1489.59,1417.316,29392,999,PAYLOAD,
GLONASS,COSMOS 794,8610,2026-03-29T01:46:02.304192,12.48156288,0.0026545,74.0562,193.3497,16.6215,155.8126,-0.00010171,-3.1e-07,0.0,7850.353,115.37,1493.057,1451.379,28569,999,PAYLOAD,
GLONASS,COSMOS 795,8611,2026-03-29T00:24:56.303712,12.45793251,0.0019927,74.054,300.5143,167.5761,192.5783,0.00018196,1.1e-07,0.0,7860.277,115.589,1497.805,1466.479,28124,999,PAYLOAD,
GLONASS,COSMOS 796,8612,2026-03-29T04:49:48.844128,12.43167605,0.0027928,74.0544,57.9327,330.3032,41.7154,7.8195e-05,-5e-08,0.0,7871.341,115.833,1515.189,1471.223,27660,999,PAYLOAD,
GLONASS,COSMOS 797,8613,2026-03-29T05:12:14.506848,12.40687519,0.0031408,74.0557,169.0801,125.6164,263.7594,-7.0222e-05,-2.5e-07,0.0,7881.827,116.065,1528.447,1478.937,27209,999,PAYLOAD,
GLONASS,COSMOS 798,8614,2026-03-29T00:49:29.008128,12.37758612,0.0048158,74.054,300.1333,278.9905,249.7223,0.0002135,1.2e-07,0.0,7894.256,116.339,1554.138,1478.104,26666,999,PAYLOAD,
