OBJECT_NAME,OBJECT_ID,anomaly_score,anomaly_factors,ECCENTRICITY,INCLINATION,BSTAR,MEAN_MOTION
STARLINK-31761,2024-080Q,2,ECCENTRICITY=HIGH (0.002323 > 0.000535); BSTAR=HIGH (0.004802 > 0.004463),0.0023226,42.9945,0.0048018,15.60435567
STARLINK-31803,2024-082U,2,ECCENTRICITY=HIGH (0.001552 > 0.000535); BSTAR=HIGH (0.010944 > 0.004463),0.0015516,42.9888,0.010944,16.04810068
STARLINK-31893,2024-093L,2,ECCENTRICITY=HIGH (0.001031 > 0.000535); BSTAR=HIGH (0.006750 > 0.004463),0.0010306,42.9804,0.0067497,16.19900006
STARLINK-31897,2024-097T,2,ECCENTRICITY=HIGH (0.001353 > 0.000535); BSTAR=HIGH (0.005444 > 0.004463),0.00135312,42.9764,0.0054435275,16.13949953
STARLINK-31920,2024-100Y,2,ECCENTRICITY=HIGH (0.000599 > 0.000535); BSTAR=HIGH (0.004767 > 0.004463),0.0005993,42.998,0.0047666,15.3404987
STARLINK-31925,2024-097F,2,ECCENTRICITY=HIGH (0.001521 > 0.000535); BSTAR=HIGH (0.005825 > 0.004463),0.00152087,42.9768,0.0058249174,16.1508529
STARLINK-31998,2024-111T,2,ECCENTRICITY=HIGH (0.000631 > 0.000535); BSTAR=HIGH (0.005013 > 0.004463),0.0006313,53.1559,0.0050133,16.17068239
STARLINK-32262,2024-155Q,2,ECCENTRICITY=HIGH (0.000881 > 0.000535); BSTAR=HIGH (0.004687 > 0.004463),0.0008812,53.151,0.0046875,15.5277394
STARLINK-32280,2024-152S,2,ECCENTRICITY=HIGH (0.000922 > 0.000535); BSTAR=LOW (-0.015491 < -0.003262),0.00092183,53.1203,-0.015491307,16.29944754
STARLINK-32368,2024-164T,2,ECCENTRICITY=HIGH (0.000664 > 0.000535); BSTAR=HIGH (0.005278 > 0.004463),0.000664,53.1375,0.0052783,16.36258315
STARLINK-32563,2024-207Y,2,ECCENTRICITY=HIGH (0.002069 > 0.000535); BSTAR=HIGH (0.008904 > 0.004463),0.0020687,42.9825,0.0089042,16.1108085
STARLINK-32576,2024-239T,2,ECCENTRICITY=HIGH (0.000638 > 0.000535); BSTAR=HIGH (0.004679 > 0.004463),0.0006381,53.1223,0.004679,16.2965535
STARLINK-3307,2021-125J,2,ECCENTRICITY=HIGH (0.001043 > 0.000535); BSTAR=HIGH (0.008197 > 0.004463),0.0010425,53.1826,0.0081965,16.39511435
STARLINK-33590,2025-123AB,2,ECCENTRICITY=HIGH (0.001429 > 0.000535); BSTAR=LOW (-0.102460 < -0.003262),0.0014293,70.0062,-0.10246,14.96333137
STARLINK-33633,2025-063V,2,ECCENTRICITY=HIGH (0.001321 > 0.000535); BSTAR=HIGH (0.005227 > 0.004463),0.0013213,53.1531,0.0052265,15.65174271
STARLINK-3365,2022-005AT,2,ECCENTRICITY=HIGH (0.000667 > 0.000535); BSTAR=HIGH (0.150200 > 0.004463),0.0006669,53.2157,0.1502,16.10504406
STARLINK-33724,2025-076F,2,ECCENTRICITY=HIGH (0.000745 > 0.000535); BSTAR=HIGH (0.005661 > 0.004463),0.0007447,42.9906,0.0056612,16.25475365
STARLINK-33778,2025-094P,2,ECCENTRICITY=HIGH (0.000977 > 0.000535); BSTAR=LOW (-0.118630 < -0.003262),0.0009767,70.0005,-0.11863,14.963349
STARLINK-33986,2025-094G,2,ECCENTRICITY=HIGH (0.001174 > 0.000535); BSTAR=HIGH (0.070352 > 0.004463),0.0011737,70.0052,0.070352,15.00171436
STARLINK-34128,2025-095C,2,ECCENTRICITY=HIGH (0.000596 > 0.000535); BSTAR=HIGH (0.004684 > 0.004463),0.00059599,42.9923,0.0046844082,16.21663642
STARLINK-34270,2025-126M,2,ECCENTRICITY=HIGH (0.000751 > 0.000535); BSTAR=LOW (-0.096062 < -0.003262),0.000751,70.0083,-0.096062,14.96514764
STARLINK-34374,2025-123T,2,ECCENTRICITY=HIGH (0.001546 > 0.000535); BSTAR=HIGH (0.071355 > 0.004463),0.0015462,70.0022,0.071355,15.00262547
STARLINK-34407,2025-126D,2,ECCENTRICITY=HIGH (0.001105 > 0.000535); BSTAR=HIGH (0.048505 > 0.004463),0.0011048,70.0039,0.048505,14.99324176
STARLINK-34495,2025-129S,2,ECCENTRICITY=HIGH (0.001086 > 0.000535); BSTAR=LOW (-0.064676 < -0.003262),0.001086,70.0042,-0.064676,14.97083435
STARLINK-35956,2025-271N,2,ECCENTRICITY=HIGH (0.000600 > 0.000535); BSTAR=HIGH (0.004586 > 0.004463),0.00060033,53.1187,0.0045860995,16.29322999
STARLINK-36253,2026-040P,2,INCLINATION=HIGH (97.277800 > 83.857200); BSTAR=LOW (-0.010235 < -0.003262),0.0001991,97.2778,-0.010235,15.86430015
STARLINK-36257,2026-035AA,2,INCLINATION=HIGH (97.269000 > 83.857200); BSTAR=LOW (-0.005971 < -0.003262),0.0001286,97.269,-0.0059707,15.81645395
STARLINK-36260,2026-026M,2,INCLINATION=HIGH (97.285000 > 83.857200); BSTAR=LOW (-0.047529 < -0.003262),0.0001543,97.285,-0.047529,15.41446959
STARLINK-36266,2026-038Z,2,INCLINATION=HIGH (97.267100 > 83.857200); BSTAR=LOW (-0.007626 < -0.003262),0.0001255,97.2671,-0.0076258,15.84778061
STARLINK-36281,2026-018S,2,INCLINATION=HIGH (97.284500 > 83.857200); BSTAR=LOW (-0.025555 < -0.003262),0.0001771,97.2845,-0.025555,15.60960027
STARLINK-36297,2026-022Z,2,INCLINATION=HIGH (97.284600 > 83.857200); BSTAR=LOW (-0.016220 < -0.003262),0.0001972,97.2846,-0.01622,15.72082282
STARLINK-36312,2026-018W,2,INCLINATION=HIGH (97.280900 > 83.857200); BSTAR=LOW (-0.003946 < -0.003262),0.000229,97.2809,-0.0039457,15.7437625
STARLINK-36315,2026-026L,2,INCLINATION=HIGH (97.285400 > 83.857200); BSTAR=LOW (-0.047673 < -0.003262),0.0001535,97.2854,-0.047673,15.41340763
STARLINK-36317,2026-026R,2,INCLINATION=HIGH (97.284800 > 83.857200); BSTAR=LOW (-0.046735 < -0.003262),0.0001484,97.2848,-0.046735,15.42023612
STARLINK-36319,2026-038K,2,INCLINATION=HIGH (97.273100 > 83.857200); BSTAR=LOW (-0.008499 < -0.003262),0.0001364,97.2731,-0.0084986,15.82415349
STARLINK-36327,2026-026T,2,INCLINATION=HIGH (97.285300 > 83.857200); BSTAR=LOW (-0.045995 < -0.003262),0.0001635,97.2853,-0.045995,15.42313912
STARLINK-36329,2026-026U,2,INCLINATION=HIGH (97.284800 > 83.857200); BSTAR=LOW (-0.044954 < -0.003262),0.0001741,97.2848,-0.044954,15.43353374
STARLINK-36330,2026-026S,2,INCLINATION=HIGH (97.284600 > 83.857200); BSTAR=LOW (-0.045549 < -0.003262),0.0001516,97.2846,-0.045549,15.42371051
STARLINK-36336,2026-035Y,2,INCLINATION=HIGH (97.268700 > 83.857200); BSTAR=LOW (-0.004593 < -0.003262),0.0001794,97.2687,-0.0045926,15.81367175
STARLINK-36349,2026-038D,2,INCLINATION=HIGH (97.275300 > 83.857200); BSTAR=LOW (-0.004557 < -0.003262),0.0001124,97.2753,-0.004557,15.81321941
STARLINK-36357,2026-038C,2,INCLINATION=HIGH (97.275200 > 83.857200); BSTAR=LOW (-0.006649 < -0.003262),0.0001297,97.2752,-0.0066494,15.8180398
