OBJECT_NAME,NORAD_CAT_ID,INCLINATION,APOAPSIS,PERIAPSIS,BSTAR,iso_score,pca_score,combined_score,anomaly_flag
STARLINK-34678,65443,97.6026,551.176,547.919,0.0002821,0.4255401535517232,0.04253384963061684,0.23403700159117002,0
STARLINK-35049,65444,97.6029,550.968,548.021,0.00036548,0.42576168369599576,0.0423312609382724,0.23404647231713407,0
STARLINK-35029,65445,97.602,551.219,547.821,0.00042193,0.44479039823071664,0.042747492062858626,0.24376894514678762,0
STARLINK-34991,65446,97.6021,551.279,547.699,0.00035974,0.4527913272277778,0.04317701188938062,0.24798416955857921,0
STARLINK-34920,65447,97.6016,550.127,548.668,0.001188,0.5592087221724662,0.04523932907128634,0.3022240256218763,0
STARLINK-35030,65448,97.6031,550.804,548.234,0.0004316,0.41964050239967576,0.04210016299060095,0.23087033269513835,0
STARLINK-35009,65449,97.6016,550.431,548.569,0.00021028,0.4278026940251202,0.04247460940011247,0.23513865171261633,0
STARLINK-34970,65450,97.6024,550.69,548.261,0.00064578,0.49699999037752773,0.04359800924263555,0.27029899981008165,0
STARLINK-35039,65451,97.6022,551.317,547.746,0.00042461565,0.46490909114356305,0.043280516944970655,0.2540948040442669,0
STARLINK-35084,65452,97.6035,550.957,548.019,0.00040712,0.41578732663885826,0.04194860580292968,0.22886796622089398,0
STARLINK-34988,65453,97.6025,564.707,561.235,0.00039955,0.5950641936384699,0.04677305389748701,0.3209186237679784,0
STARLINK-35059,65454,97.6041,564.393,561.603,0.00037737,0.4304443384067259,0.04213569343993044,0.23629001592332818,0
STARLINK-34728,65455,97.6026,550.698,548.309,0.00037041,0.37709715783051095,0.041449683621434454,0.20927342072597271,0
STARLINK-35005,65456,97.6014,550.461,548.515,0.00040919,0.38311977937538005,0.041392756198657475,0.21225626778701875,0
STARLINK-35076,65457,97.6025,551.527,547.38,0.0007927,0.5795196738895856,0.04639255497327753,0.31295611443143156,0
STARLINK-34784,65458,53.159,475.908,474.478,0.0013968,0.08250830263656196,0.004416716016120527,0.04346250932634124,0
STARLINK-35038,65482,53.1581,476.302,474.123,0.00099594,0.07175649842954397,0.002038024180130628,0.0368972613048373,0
STARLINK-35037,65483,53.1579,476.088,474.214,0.0011657,0.05340456925774738,0.0005627944691144545,0.026983681863430916,0
STARLINK-35089,65484,53.1604,476.118,474.267,0.00098247,0.049373159883580604,0.002286770482728752,0.02582996518315468,0
STARLINK-35143,65485,53.159,476.076,474.135,0.00094277,0.13145862041554776,0.0077443377616321545,0.06960147908858996,0
STARLINK-34867,65459,53.1571,476.632,473.726,0.00099374,0.10609784826973293,0.003084448379900418,0.05459114832481667,0
STARLINK-34850,65460,53.1584,476.082,474.185,0.0010723,0.038096803087103386,0.0004826699045444929,0.01928973649582394,0
STARLINK-35159,65461,53.1581,476.05,474.356,0.0006833,0.021692882565900306,0.001232579968422371,0.011462731267161338,0
STARLINK-35180,65462,53.1571,476.064,474.281,0.0009643,0.04431250986142315,0.002015803601874853,0.023164156731649,0
STARLINK-35111,65463,53.1589,475.907,474.451,0.0012165,0.07201858350332763,0.0038734257668595205,0.03794600463509357,0
STARLINK-35107,65464,53.16,476.122,474.452,0.0014837,0.0594069515608808,0.001310275885855297,0.03035861372336805,0
STARLINK-35169,65465,53.1578,476.63,473.715,0.0016287,0.12970720918890477,0.002662909785489152,0.06618505948719697,0
STARLINK-35027,65466,53.1571,476.771,473.615,0.0011104,0.15998000860539843,0.007612908652992484,0.08379645862919546,0
STARLINK-34816,65467,53.161,475.873,474.747,0.00082784,0.12966802743050795,0.009880628217817008,0.06977432782416249,0
