OBJECT_NAME,OBJECT_ID,EPOCH,predicted_anomaly,lof_score,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-36474,2026-003V,2026-02-09T20:00:01.999008,1,-2.152989261698845,15.31075811,4.74e-05,43.0007,24.7939,255.0346,294.4148,-0.15362,-0.04137409,0.0
STARLINK-30590,2023-160R,2026-02-06T20:56:10.266720,1,-2.151957792089461,15.02541769,4.18e-05,43.0,247.5815,210.1861,149.8958,9.9853e-05,1.146e-05,0.0
STARLINK-34675,2025-150V,2026-02-09T20:00:01.999008,1,-2.143130620292783,14.98314591,0.0002845,70.0019,204.6736,276.1473,116.6032,0.0030233,0.00036153,0.0
STARLINK-2763,2021-044AJ,2026-02-09T20:21:35.272224,1,-2.1421937637246633,15.3032528,0.0001545,53.1601,233.5196,64.156,295.96,-0.0025385,-0.00075082,0.0
STARLINK-35722,2025-244N,2026-02-09T07:03:17.464896,1,-2.132105742173663,15.30274465,0.0002578,53.1619,1.6884,97.0254,263.104,0.0020269,0.00060302,0.0
STARLINK-3282,2021-125X,2026-02-09T05:10:45.660000,1,-2.1265874944116963,15.08836867,0.0001267,53.2187,16.942,131.6837,228.4264,-2.1632e-06,-3.22e-06,0.0
STARLINK-33583,2025-071L,2026-02-09T08:00:01.999872,1,-2.1254176034671715,15.30176842,0.00017945,53.1571,274.3119,88.7286,164.2231,-0.00034279593,-0.00010491,0.0
STARLINK-11167 [DTC],2024-113C,2026-02-09T01:20:01.945248,1,-2.1206139580987693,15.69702611,0.00021894,53.1601,332.3829,26.1463,333.9665,1.476463e-06,-4.11e-06,0.0
STARLINK-35640,2025-265W,2026-02-09T14:01:35.611680,1,-2.119454105957939,15.27597995,0.0002417,42.9988,76.7807,33.1094,326.9908,0.00073624,0.00020064,0.0
STARLINK-34633,2025-150Q,2026-02-09T20:00:01.999008,1,-2.115773444640099,14.98314514,0.0003103,70.0019,204.668,279.2599,112.5933,0.0031701,0.00037922,0.0
STARLINK-36217,2025-299U,2026-02-09T16:00:00.999936,1,-2.1148530918498625,15.40604861,0.0001502,43.0023,329.776,256.3205,19.7622,0.0019556,0.00082009,0.0
STARLINK-34069,2025-157S,2026-02-09T20:00:01.999008,1,-2.1145911175054173,15.30202808,0.0001721,53.1594,115.2919,80.481,350.0572,-0.00053361,-0.00016131,0.0
STARLINK-4464,2022-105X,2026-02-09T15:00:04.819392,1,-2.110952527103242,15.01266265,2.47e-05,97.6042,282.7218,101.9639,258.1613,2.9071e-05,3.15e-06,0.0
STARLINK-5900,2023-037AL,2026-02-09T20:00:01.999008,1,-2.1053457599234724,14.9833699,0.0002847,70.0026,334.8065,266.6925,241.6201,0.00039772,4.657e-05,0.0
STARLINK-5059,2022-119AC,2026-02-09T10:17:24.588384,1,-2.1034222970519623,15.08849831,0.00021504,53.2185,80.6304,45.9257,314.1912,0.00027889204,4.154e-05,0.0
STARLINK-3158,2021-104AA,2026-02-09T03:35:26.767968,1,-2.0975488980077137,15.08835531,0.00022268,53.2199,347.2445,130.207,229.9118,-0.00010250033,-1.919e-05,0.0
STARLINK-2748,2021-044BJ,2026-02-09T18:49:12.537696,1,-2.0956966582175967,15.30574562,0.0001891,53.1611,208.1245,48.5463,311.57,-0.0032408,-0.00096231,0.0
STARLINK-36488,2026-002B,2026-02-09T20:00:01.999008,1,-2.093043396633461,15.28425441,0.0002508,43.0007,122.8799,269.4511,149.5253,0.00041985,0.0001161,0.0
STARLINK-34194,2025-113K,2026-02-09T11:49:29.162496,1,-2.091757828715795,15.30218915,0.00025496,53.1585,221.7033,116.0232,244.1032,0.0012027382,0.00035455,0.0
STARLINK-35033,2025-195L,2026-02-09T09:07:06.774528,1,-2.088606422262987,15.3022354,0.00012325,53.1606,29.3731,24.7505,335.3555,0.001071563,0.00031535,0.0
STARLINK-36151,2025-299X,2026-02-09T18:56:26.651040,1,-2.08479221154036,15.40759536,0.0002184,43.0019,329.6461,240.9179,119.1459,0.0013746,0.0005767,0.0
STARLINK-1641,2020-057BK,2026-02-09T08:55:03.072576,1,-2.0838319815043707,15.44269359,0.00025517,53.0521,60.4424,29.584,330.5309,0.001074113,0.00050097,0.0
STARLINK-34613,2025-184X,2026-02-09T14:43:47.397792,1,-2.0790344740655873,15.05671639,0.00016637,97.6045,94.9432,41.6185,318.5169,0.00040865494,5.844e-05,0.0
STARLINK-6273,2023-061X,2026-02-09T04:45:37.132416,1,-2.07248259531098,15.02546449,5.12e-05,43.0021,339.7283,244.5409,115.538,-0.0001057,-1.631e-05,0.0
STARLINK-4264,2022-076H,2026-01-31T08:46:48.339264,1,-2.068022411019874,16.02700141,0.0002873,53.2162,247.6859,158.2213,201.8942,0.00020624,0.0012351,1.7937e-05
STARLINK-34712,2025-157D,2026-02-09T17:12:02.897280,1,-2.0673909193955735,15.39648184,0.0001322,53.1579,115.4126,82.8627,277.2528,0.0012112,0.00048401,0.0
STARLINK-5579,2023-028F,2026-02-09T19:14:27.447648,1,-2.065611506377201,14.98113523,0.0001599,70.001,314.7385,275.265,84.8326,-0.0021811,-0.00025875,0.0
STARLINK-34201,2025-107P,2026-02-09T06:55:56.119008,1,-2.0597326907396334,15.27606785,7.94e-05,43.0028,2.228,21.5523,338.5362,0.0013226,0.00036342,0.0
STARLINK-1434,2020-035BH,2026-02-09T12:33:25.560000,1,-2.058791363502197,15.23974881,0.00015802,53.0507,150.2032,351.0688,9.0281,0.0028076259,0.00069153,0.0
STARLINK-30245,2023-119L,2026-02-08T21:04:26.894784,1,-2.0578805535608016,15.0254594,0.00034596,42.9948,238.0229,36.1909,323.9166,-0.00093313623,-0.00012791,0.0
STARLINK-3868,2022-052BD,2026-02-09T08:14:54.180096,1,-2.050502126046774,15.08837673,9.992e-05,53.2191,26.2228,82.664,277.4465,1.8037813e-05,-1e-08,0.0
STARLINK-4352,2022-077E,2026-02-09T11:53:22.261920,1,-2.0471701858866567,15.01250019,0.00021681,97.6016,222.6502,57.7708,302.3726,0.00054611942,6.961e-05,0.0
STARLINK-3988,2022-052AD,2026-02-09T09:01:17.912064,1,-2.044497818657286,15.08839399,0.00020141,53.2186,36.2257,94.5561,265.5661,2.0257275e-05,3.4e-07,0.0
STARLINK-5729,2023-020AD,2026-02-09T15:11:43.830816,1,-2.043903166595935,15.02515991,6.51e-05,43.0007,156.6802,278.3931,81.6838,-0.00012517,-1.893e-05,0.0
STARLINK-4337,2022-077L,2026-02-09T11:55:41.867040,1,-2.042141676599909,15.012647,0.00025599,97.602,222.6234,51.9224,308.2231,0.00014296655,1.779e-05,0.0
STARLINK-3352,2022-005AV,2026-02-09T10:36:30.508128,1,-2.040447149840513,15.22841036,0.00019966,53.1989,66.5165,16.3648,343.7414,0.0018961061,0.0004489,0.0
STARLINK-11361 [DTC],2024-187M,2026-02-09T10:53:04.139232,1,-2.033607347434406,15.69818786,0.00016438,53.1569,75.5823,132.0296,228.0862,0.0016896292,0.00210327,0.0
STARLINK-35137,2025-212L,2026-02-09T16:22:45.802848,1,-2.032615085300869,15.39648306,0.0001229,53.1577,107.3282,88.5523,271.5623,0.0012435,0.0004971,0.0
STARLINK-30052,2023-119K,2026-02-08T22:44:55.728672,1,-2.0305695844001272,15.02535827,2.398e-05,43.0031,237.6747,184.2954,175.7886,3.8395691e-05,3.15e-06,0.0
STARLINK-31145,2024-011D,2026-02-09T20:00:01.999008,1,-2.0305146282728246,15.78244163,0.0015411,53.1259,143.1048,353.1688,261.3792,0.0067419,0.01326079,0.0
STARLINK-1060,2019-074BE,2026-02-09T23:55:23.954592,1,-2.0278521207081424,16.16512956,0.0006276,53.0317,260.5805,251.0149,109.0207,0.00078241,0.01173159,0.00099827
STARLINK-36124,2025-299V,2026-02-09T04:27:15.564384,1,-2.0250002509646454,15.40733254,0.0001114,43.0024,332.848,273.9559,86.117,0.0011105,0.00046417,0.0
STARLINK-5979,2023-058AE,2026-02-09T13:46:18.906816,1,-2.0222855500996055,15.01263414,0.0002638,97.6035,42.6945,167.0582,193.071,-1.6527e-06,-8e-07,0.0
STARLINK-35567,2025-262S,2026-02-09T14:24:04.916160,1,-2.021166296763508,15.27588824,0.0001232,43.0024,94.5321,346.6917,13.3902,0.00077,0.00020992,0.0
STARLINK-5467,2023-021AJ,2026-02-09T20:00:01.999008,1,-2.0203349870700165,14.98328242,0.0002988,70.0002,234.5308,272.4471,174.7237,0.00077132,9.122e-05,0.0
STARLINK-30094,2023-056V,2026-02-09T08:31:13.463616,1,-2.0193791132233567,15.0253632,0.00039193,43.0151,3.9645,249.1352,110.9071,4.9691238e-05,4.67e-06,0.0
STARLINK-4202,2022-062U,2026-02-09T15:30:07.443072,1,-2.018799725458851,15.08842891,6.9e-05,53.2169,160.0135,53.7158,306.3898,3.8522e-05,3.26e-06,0.0
STARLINK-34388,2025-123D,2026-02-09T18:34:17.463936,1,-2.016745566674622,14.98416791,0.0003958,69.9995,264.972,293.8776,66.1968,-0.0019791,-0.00023682,0.0
STARLINK-34005,2025-098K,2026-02-09T06:52:49.240992,1,-2.0138489303154907,14.98336189,0.0002407,70.003,346.238,292.1068,67.9835,7.5463e-05,8.08e-06,0.0
STARLINK-34691,2025-212R,2026-02-09T12:29:00.019968,1,-2.01247663465629,15.3962991,0.0001058,53.1576,107.7386,87.3365,272.7761,0.00099202,0.00039499,0.0
STARLINK-30817,2023-171J,2026-02-09T04:22:47.014176,1,-2.012351081856071,15.02540301,0.00025726,43.0025,81.1931,166.8381,193.2529,-3.6030951e-05,-6.91e-06,0.0
STARLINK-4622,2022-105A,2026-02-09T15:37:24.400704,1,-2.011464243418398,15.01260746,9.15e-05,97.6028,282.7544,113.0448,247.0873,1.5861e-05,1.46e-06,0.0
