OBJECT_NAME,OBJECT_ID,predicted_anomaly,lof_score,ECCENTRICITY,INCLINATION,BSTAR,MEAN_MOTION
STARLINK-35138,2025-192S,1,-3.7483767290493852,9.52e-05,53.1581,0.00092817,15.37946918
STARLINK-30845,2023-170B,1,-3.7481930948648445,0.0001414,43.0029,0.00081749,15.0317999
STARLINK-2185,2021-017AX,1,-3.725047353202578,0.00011652,53.1619,0.00012006716,15.31031483
STARLINK-3XXX,2022-010D,1,-3.7133198422919107,0.0071354,53.223,0.001996,16.12601425
STARLINK-5433,2022-175AM,1,-3.7057586646295753,9.976e-05,53.2197,-0.00070558914,15.0889321
STARLINK-4318,2022-077AV,1,-3.68467649313508,0.0002412,97.5997,0.006645,15.02065231
STARLINK-4081,2022-053E,1,-3.682905227022716,0.0016418,53.2161,-0.022154,15.06368243
STARLINK-6208,2023-083V,1,-3.649048470978557,0.0001026,43.0041,0.00048311,15.02509537
STARLINK-11281,2024-158G,1,-3.618884612130622,2.59e-05,53.1573,1.2465e-05,15.69706888
STARLINK-5503,2023-094AR,1,-3.5638391211791864,0.0001695,43.0006,-5.2091e-05,15.05004526
STARLINK-4478,2022-101C,1,-3.539740856638967,0.0003694,53.2166,0.001534,15.10732962
STARLINK-30366,2023-131T,1,-3.536430362189018,0.0001182,42.9991,0.00086878,15.02839883
STARLINK-4381,2022-084AK,1,-3.51777357642863,0.0037034,97.6225,0.0001,16.54933179
STARLINK-5519,2023-094F,1,-3.5174380090000716,1.766e-05,43.0043,2.5555917e-05,15.02538277
STARLINK-36635,2026-018N,1,-3.5059669361749584,0.000331,97.2842,-0.0060873,15.73114278
STARLINK-4423,2022-084W,1,-3.4986830661259027,9.035e-05,97.603,0.0012696619,15.01385741
STARLINK-3149,2021-104R,1,-3.486588489290207,8.34e-05,53.2153,0.0047775,15.84955898
STARLINK-5515,2023-083J,1,-3.4629142687868275,1.87e-05,43.0013,0.00011531,15.02549615
STARLINK-4636,2022-107AH,1,-3.460019487046015,0.00053504,53.2139,0.0013397991,15.1193435
STARLINK-36740,2026-026W,1,-3.411743047319779,0.0001507,97.2852,-0.0046994,15.49266527
STARLINK-36881,2026-038B,1,-3.3907907202182956,0.0001511,97.2763,-0.0028834,15.81129884
STARLINK-11113,2024-107C,1,-3.375390186169944,3.17e-05,53.1591,-4.4017e-05,15.69739995
STARLINK-6311,2023-065AL,1,-3.371432205616871,0.0001244,43.0024,0.0004683,15.0257905
STARLINK-1460,2020-035V,1,-3.3547247099504696,0.0001326,53.157,0.00087746,15.29338219
STARLINK-3258,2021-125BC,1,-3.3546470727342785,0.0001216,53.2092,0.002584,15.97746917
STARLINK-3700,2022-025A,1,-3.329145034554068,0.0001438,53.1607,2.0056e-05,15.2935433
STARLINK-35738,2025-299Q,1,-3.3121036715339764,0.0001447,43.0,-0.12346,15.31279559
STARLINK-2606,2021-038AK,1,-3.309393506071296,0.0001347,53.1568,0.00092086,15.29333721
STARLINK-34651,2025-152V,1,-3.302875125813815,8.23e-05,97.6039,0.0015753,15.01318546
STARLINK-36502,2026-020L,1,-3.2828789349150087,0.0001468,42.9999,-0.00068986,15.50576558
STARLINK-36603,2026-018D,1,-3.275494164963773,0.0004373,97.2853,-0.0032131,15.73972499
STARLINK-4449,2022-105U,1,-3.25765041004991,0.0005683,97.6348,0.0012762,16.25857663
STARLINK-5571,2023-013BB,1,-3.2460623653064324,0.0001317,43.0026,0.00020317,15.03355481
STARLINK-36097,2025-298S,1,-3.2283959411281082,0.0003438,70.0011,0.0032125,15.26248952
STARLINK-36527,2026-020Q,1,-3.2160500367660156,0.0001546,42.9996,-0.0012052,15.50587275
STARLINK-3280,2021-125AE,1,-3.186112911181471,0.0059346,53.215,0.00064938,16.17012138
STARLINK-34014,2025-098S,1,-3.1800491314004184,7.21e-05,70.0015,0.00064328,14.98346042
STARLINK-3178,2022-010M,1,-3.1682388808692648,0.0001065,53.2174,-0.00054675,15.0886572
STARLINK-2040,2021-012AN,1,-3.1599795759548215,0.00014591,53.1582,1.9547009e-05,15.29372659
STARLINK-1300,2020-019Q,1,-3.1443399214835503,0.0001412,53.1591,-1.6292e-05,15.29373929
STARLINK-33962,2025-098AA,1,-3.141322687717603,0.0002776,70.0016,-0.014139,14.98066585
STARLINK-4469,2022-105K,1,-3.1403210103210832,0.0002201,97.6273,0.0019225,15.88900991
STARLINK-34695,2025-157N,1,-3.1342376333386475,6.934e-05,53.161,0.00065965584,15.39746032
STARLINK-36261,2025-299D,1,-3.1268069191580095,0.0001304,43.0005,0.00011212,15.2840782
STARLINK-2169,2021-017AG,1,-3.121283637593915,0.00014236,53.1591,7.587166e-05,15.29349151
STARLINK-1017,2019-074L,1,-3.106799167628688,0.0001466,53.0558,0.001993,15.24403968
STARLINK-1167,2020-006AD,1,-3.0951116275962915,0.000142,53.16,6.7204e-05,15.29357108
STARLINK-6108,2023-090BG,1,-3.0867910531745104,9.22e-05,43.0027,0.00044631,15.02582046
STARLINK-4650,2022-104Z,1,-3.0638068218345738,0.0055899,53.1516,0.00032393,16.39243652
STARLINK-1153,2020-006AN,1,-3.062105402707167,0.0001015,53.1611,0.0001441,15.29346968
STARLINK-33956,2025-098B,1,-3.0440930432576865,0.00010552,70.0012,-0.013471642,14.97850556
STARLINK-33778,2025-094P,1,-3.0423929707903596,0.0009767,70.0005,-0.11863,14.963349
STARLINK-32664,2024-229N,1,-3.0389629550400596,0.0007652,43.0013,0.0038461,15.32848018
STARLINK-30790,2023-162K,1,-3.0235162319647912,0.0010147,42.9983,0.0025389,15.13318583
STARLINK-31920,2024-100Y,1,-3.0113614252959056,0.0005993,42.998,0.0047666,15.3404987
STARLINK-3352,2022-005AV,1,-2.9909050163921247,0.00018045,53.1895,0.0018868965,15.24776917
STARLINK-4057,2022-086AD,1,-2.987623079571594,0.0001316,53.2155,0.0033585,15.91734938
STARLINK-30344,2023-131F,1,-2.9848748341803084,6.39e-05,42.9985,0.00011463,15.05114038
